full_name,jersey_number,id,first_name,last_name,position,primary_position,played,active,starter,sr_id,team,opp,year,home_pts,away_pts,W/L,statistics.minutes,statistics.field_goals_made,statistics.field_goals_att,statistics.field_goals_pct,statistics.three_points_made,statistics.three_points_att,statistics.three_points_pct,statistics.two_points_made,statistics.two_points_att,statistics.two_points_pct,statistics.blocked_att,statistics.free_throws_made,statistics.free_throws_att,statistics.free_throws_pct,statistics.offensive_rebounds,statistics.defensive_rebounds,statistics.rebounds,statistics.assists,statistics.turnovers,statistics.steals,statistics.blocks,statistics.assists_turnover_ratio,statistics.personal_fouls,statistics.tech_fouls,statistics.flagrant_fouls,statistics.pls_min,statistics.points,injuries,statistics.double_double,statistics.triple_double,statistics.effective_fg_pct,statistics.efficiency,statistics.efficiency_game_score,statistics.fouls_drawn,statistics.offensive_fouls,statistics.points_in_paint,statistics.points_in_paint_att,statistics.points_in_paint_made,statistics.points_in_paint_pct,statistics.points_off_turnovers,statistics.true_shooting_att,statistics.true_shooting_pct,statistics.coach_ejections,statistics.coach_tech_fouls,statistics.second_chance_pts,statistics.second_chance_pct,fouled_out,on_court,reference,statistics.tech_fouls_non_unsportsmanlike,statistics.fast_break_pts,statistics.fast_break_att,statistics.fast_break_made,statistics.fast_break_pct,statistics.defensive_rating,statistics.offensive_rating,statistics.minus,statistics.plus,statistics.defensive_rebounds_pct,statistics.offensive_rebounds_pct,statistics.rebounds_pct,statistics.steals_pct,statistics.turnovers_pct,statistics.second_chance_att,statistics.second_chance_made
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Spurs,2015-03-13T01:30:00+00:00,125,128,L,43:43,10,20,50.0,3,6,50.0,7,14,0.5,0,8,10,80.0,0,5,5,7,3,2,1,2.33,2,1,0,4.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Magic,2015-03-15T22:00:00+00:00,108,123,L,34:44,9,14,64.3,0,3,0.0,9,11,0.818,0,3,4,75.0,1,7,8,13,1,3,1,13.0,3,0,0,25.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Heat,2015-03-17T00:00:00+00:00,106,92,W,35:16,8,19,42.1,4,8,50.0,4,11,0.364,1,6,8,75.0,1,1,2,4,4,0,0,1.0,2,0,0,-17.0,26,"[{'id': '2acf3e7e-3fc3-4eba-9e84-b3531dc05550', 'comment': ""James expects to play in Monday's (3/16) game, but is officially questionable."", 'desc': 'Knee', 'status': 'Day To Day', 'start_date': '2015-03-16', 'update_date': '2015-03-16'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Bucks,2015-03-22T19:00:00+00:00,90,108,L,39:28,10,17,58.8,1,4,25.0,9,13,0.692,1,7,7,100.0,2,8,10,6,5,5,1,1.2,1,0,0,4.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Grizzlies,2015-03-26T00:00:00+00:00,89,111,L,31:27,7,15,46.7,3,5,60.0,4,10,0.4,1,3,4,75.0,0,8,8,5,1,0,0,5.0,2,0,0,31.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Nets,2015-03-27T23:30:00+00:00,106,98,W,38:28,8,15,53.3,2,5,40.0,6,10,0.6,0,6,8,75.0,0,5,5,9,3,5,1,3.0,4,0,0,-1.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Bucks,2015-04-09T00:00:00+00:00,99,104,L,39:51,8,15,53.3,2,5,40.0,6,10,0.6,1,3,4,75.0,2,7,9,8,2,1,1,4.0,2,0,0,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,,True,,sr:player:608028,Cavaliers,Celtics,2015-04-12T19:00:00+00:00,117,78,W,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Bulls,2015-10-28T00:00:00+00:00,97,95,W,36:04,12,22,54.5,1,5,20.0,11,17,0.647,2,0,3,0.0,0,10,10,5,1,1,0,5.0,3,0,0,1.0,25,"[{'id': '5e09242d-7b18-4e07-bf95-e9499ce27fbb', 'comment': 'James said he will play in the season opener Tuesday (Oct. 27), according to a report from ESPN.', 'desc': 'Back', 'status': 'Day To Day', 'start_date': '2015-10-16', 'update_date': '2015-10-27'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Grizzlies,2015-10-29T00:00:00+00:00,76,106,L,30:48,4,13,30.8,0,3,0.0,4,10,0.4,0,4,8,50.0,1,6,7,5,3,3,0,1.67,1,0,0,10.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
